,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.063,80.80000000000001,baard_2stage,6.2,100.0
1,apgd,0.063,80.80000000000001,baard_3stage,9.5,100.0
2,apgd,0.063,80.80000000000001,fs,74.7,81.8
3,apgd,0.063,80.80000000000001,lid,0.0,0.0
4,apgd,0.063,80.80000000000001,magnet,0.2,100.0
5,apgd,0.063,80.80000000000001,rc,0.8,87.9
6,apgd,0.3,0.0,baard_2stage,6.2,100.0
7,apgd,0.3,0.0,baard_3stage,9.5,100.0
8,apgd,0.3,0.0,fs,79.0,84.39999999999999
9,apgd,0.3,0.0,lid,4.9,43.1
10,apgd,0.3,0.0,magnet,0.2,100.0
11,apgd,0.3,0.0,rc,0.8,0.0
12,apgd,1.0,0.0,baard_2stage,6.2,100.0
13,apgd,1.0,0.0,baard_3stage,9.5,100.0
14,apgd,1.0,0.0,fs,20.3,85.1
15,apgd,1.0,0.0,lid,0.4,71.3
16,apgd,1.0,0.0,magnet,0.2,100.0
17,apgd,1.0,0.0,rc,0.8,0.0
18,apgd,1.5,0.0,baard_2stage,6.2,100.0
19,apgd,1.5,0.0,baard_3stage,9.5,100.0
20,apgd,1.5,0.0,fs,18.6,84.7
21,apgd,1.5,0.0,lid,0.6,74.8
22,apgd,1.5,0.0,magnet,0.2,100.0
23,apgd,1.5,0.0,rc,0.8999999999999999,0.0
24,apgd1,0.3,100.0,baard_2stage,6.2,100.0
25,apgd1,0.3,100.0,baard_3stage,9.5,100.0
26,apgd1,0.3,100.0,fs,79.60000000000001,79.7
27,apgd1,0.3,100.0,lid,0.0,0.0
28,apgd1,0.3,100.0,magnet,0.2,100.0
29,apgd1,0.3,100.0,rc,0.8,99.2
30,apgd1,1.0,99.7,baard_2stage,6.2,100.0
31,apgd1,1.0,99.7,baard_3stage,9.5,100.0
32,apgd1,1.0,99.7,fs,18.099999999999998,17.9
33,apgd1,1.0,99.7,lid,0.0,0.0
34,apgd1,1.0,99.7,magnet,0.2,99.8
35,apgd1,1.0,99.7,rc,0.8,99.2
36,apgd1,1.5,99.3,baard_2stage,6.2,100.0
37,apgd1,1.5,99.3,baard_3stage,9.5,100.0
38,apgd1,1.5,99.3,fs,80.0,79.80000000000001
39,apgd1,1.5,99.3,lid,0.0,0.0
40,apgd1,1.5,99.3,magnet,0.2,99.8
41,apgd1,1.5,99.3,rc,0.8,99.0
42,apgd1,2.0,99.1,baard_2stage,6.2,100.0
43,apgd1,2.0,99.1,baard_3stage,9.5,100.0
44,apgd1,2.0,99.1,lid,0.0,0.0
45,apgd1,2.0,99.1,magnet,0.2,99.7
46,apgd1,2.0,99.1,rc,0.8,99.0
47,apgd1,3.0,98.4,baard_2stage,6.2,100.0
48,apgd1,3.0,98.4,baard_3stage,9.5,100.0
49,apgd1,3.0,98.4,lid,0.0,0.0
50,apgd1,3.0,98.4,magnet,0.2,99.1
51,apgd1,3.0,98.4,rc,0.8,98.6
52,apgd1,5.0,96.39999999999999,baard_2stage,6.2,100.0
53,apgd1,5.0,96.39999999999999,baard_3stage,9.5,100.0
54,apgd1,5.0,96.39999999999999,lid,0.0,0.0
55,apgd1,5.0,96.39999999999999,magnet,0.2,98.7
56,apgd1,5.0,96.39999999999999,rc,0.8,97.6
57,apgd2,0.063,99.7,baard_2stage,6.2,100.0
58,apgd2,0.063,99.7,baard_3stage,9.5,100.0
59,apgd2,0.063,99.7,fs,79.9,80.30000000000001
60,apgd2,0.063,99.7,lid,0.0,0.0
61,apgd2,0.063,99.7,magnet,0.2,99.8
62,apgd2,0.063,99.7,rc,0.8,99.1
63,apgd2,0.3,97.6,baard_2stage,6.2,100.0
64,apgd2,0.3,97.6,baard_3stage,9.5,100.0
65,apgd2,0.3,97.6,fs,74.6,75.9
66,apgd2,0.3,97.6,lid,0.0,0.0
67,apgd2,0.3,97.6,magnet,0.2,99.1
68,apgd2,0.3,97.6,rc,0.8,98.2
69,apgd2,0.6,91.60000000000001,baard_2stage,6.2,100.0
70,apgd2,0.6,91.60000000000001,baard_3stage,9.5,100.0
71,apgd2,0.6,91.60000000000001,fs,72.5,75.7
72,apgd2,0.6,91.60000000000001,lid,0.0,0.0
73,apgd2,0.6,91.60000000000001,magnet,0.2,97.8
74,apgd2,0.6,91.60000000000001,rc,0.8,94.39999999999999
75,apgd2,1.0,69.39999999999999,baard_2stage,6.2,100.0
76,apgd2,1.0,69.39999999999999,baard_3stage,9.5,100.0
77,apgd2,1.0,69.39999999999999,fs,72.3,77.8
78,apgd2,1.0,69.39999999999999,lid,0.6,0.6
79,apgd2,1.0,69.39999999999999,magnet,0.2,96.3
80,apgd2,1.0,69.39999999999999,rc,0.8,80.30000000000001
81,apgd2,1.5,30.3,baard_2stage,6.2,100.0
82,apgd2,1.5,30.3,baard_3stage,9.5,100.0
83,apgd2,1.5,30.3,fs,72.3,82.8
84,apgd2,1.5,30.3,lid,5.800000000000001,14.7
85,apgd2,1.5,30.3,magnet,0.2,98.3
86,apgd2,1.5,30.3,rc,0.8,46.7
87,apgd2,2.0,10.2,baard_2stage,6.2,100.0
88,apgd2,2.0,10.2,baard_3stage,9.5,100.0
89,apgd2,2.0,10.2,lid,7.199999999999999,21.5
90,apgd2,2.0,10.2,magnet,0.2,99.0
91,apgd2,2.0,10.2,rc,0.8,20.0
92,apgd2,3.0,2.3,baard_2stage,6.2,100.0
93,apgd2,3.0,2.3,baard_3stage,9.5,100.0
94,apgd2,3.0,2.3,lid,7.1,15.4
95,apgd2,3.0,2.3,magnet,0.2,99.8
96,apgd2,3.0,2.3,rc,0.8,2.6
97,apgd2,5.0,0.5,baard_2stage,6.2,100.0
98,apgd2,5.0,0.5,baard_3stage,9.5,100.0
99,apgd2,5.0,0.5,lid,10.9,43.6
100,apgd2,5.0,0.5,magnet,0.2,100.0
101,apgd2,5.0,0.5,rc,0.8,0.5
102,boundary,0.3,25.0,baard_2stage,6.2,100.0
103,boundary,0.3,25.0,baard_3stage,9.5,100.0
104,boundary,0.3,25.0,fs,72.0,100.0
105,boundary,0.3,25.0,lid,8.4,51.800000000000004
106,boundary,0.3,25.0,magnet,0.2,99.9
107,boundary,0.3,25.0,rc,0.8,77.10000000000001
108,cw2,0.0,3.5000000000000004,baard_2stage,6.2,100.0
109,cw2,0.0,3.5000000000000004,baard_3stage,9.5,100.0
110,cw2,0.0,3.5000000000000004,fs,72.1,100.0
111,cw2,0.0,3.5000000000000004,lid,8.1,22.7
112,cw2,0.0,3.5000000000000004,magnet,0.2,99.5
113,cw2,0.0,3.5000000000000004,rc,0.8,90.60000000000001
114,cw2,10.0,0.0,baard_2stage,6.2,100.0
115,cw2,10.0,0.0,baard_3stage,9.5,100.0
116,cw2,10.0,0.0,fs,72.1,100.0
117,cw2,10.0,0.0,lid,7.7,28.7
118,cw2,10.0,0.0,magnet,0.2,97.0
119,cw2,10.0,0.0,rc,0.8,0.0
120,cw2,5.0,0.0,baard_2stage,6.2,100.0
